from_label,to_label,sum_sigval
Activated CD4+ T-cells,Activated CD4+ T-cells,0.285714286
Activated CD4+ T-cells,Activated monocytes,0.071428571
Activated CD4+ T-cells,B cells,0.142857143
Activated CD4+ T-cells,CD11b+ M1 macrophages,0
Activated CD4+ T-cells,CD11b+ M2 macrophages,0
Activated CD4+ T-cells,CD16+ CD4+ T-cells,0.071428571
Activated CD4+ T-cells,CD16+ M1 macrophages,0
Activated CD4+ T-cells,CD16+ M2 macrophages,0
Activated CD4+ T-cells,CD3+ CD4+ T-cells,0.5
Activated CD4+ T-cells,CD3+ CD8+ T-cells,0.285714286
Activated CD4+ T-cells,Cholangiocytes,-0.142857143
Activated CD4+ T-cells,Classical monocytes,0
Activated CD4+ T-cells,Cytotoxic T-cells,0
Activated CD4+ T-cells,Endothelial cells,-0.071428571
Activated CD4+ T-cells,HLADR+ CD4+ Tregs,0
Activated CD4+ T-cells,HLADR+ M2 macrophages,0
Activated CD4+ T-cells,HLADR- CD4+ Tregs,0
Activated CD4+ T-cells,HLADR-high Cholangiocytes,0
Activated CD4+ T-cells,HLADR-high Endothelial cells,0.071428571
Activated CD4+ T-cells,HLADR-high Hepatocytes,0.428571429
Activated CD4+ T-cells,Hepatocytes,-0.714285714
Activated CD4+ T-cells,Intermediate monocytes,0
Activated CD4+ T-cells,Ki67-high Cholangiocytes,0
Activated CD4+ T-cells,Ki67-high Endothelial cells,0
Activated CD4+ T-cells,Ki67-high Hepatocytes,0
Activated CD4+ T-cells,M1 macrophages,0
Activated CD4+ T-cells,M2 macrophages,0
Activated CD4+ T-cells,Naive CD4+ T-cells,0
Activated CD4+ T-cells,Neutrophils,0.142857143
Activated CD4+ T-cells,Non-classical monocytes,0
Activated CD4+ T-cells,PD1+ B cells,0.071428571
Activated CD4+ T-cells,PD1+ CD4+ T-cells,0.071428571
Activated CD4+ T-cells,PD1+ CD8+ T-cells,0
Activated CD4+ T-cells,PD1+CD28+ CD8+ T-cells,0
Activated CD4+ T-cells,Plasma cells,0
Activated CD4+ T-cells,Proliferating CD4+ T-cells,0
