from_label,to_label,sum_sigval
Activated CD4+ T-cells,Activated CD4+ T-cells,0.431034483
Activated CD4+ T-cells,Activated monocytes,0.155172414
Activated CD4+ T-cells,B cells,0.310344828
Activated CD4+ T-cells,CD11b+ M1 macrophages,0.017241379
Activated CD4+ T-cells,CD11b+ M2 macrophages,0
Activated CD4+ T-cells,CD16+ CD4+ T-cells,-0.017241379
Activated CD4+ T-cells,CD16+ M1 macrophages,0
Activated CD4+ T-cells,CD16+ M2 macrophages,-0.068965517
Activated CD4+ T-cells,CD3+ CD4+ T-cells,0.482758621
Activated CD4+ T-cells,CD3+ CD8+ T-cells,0.482758621
Activated CD4+ T-cells,Cholangiocytes,0.051724138
Activated CD4+ T-cells,Classical monocytes,0.086206897
Activated CD4+ T-cells,Cytotoxic T-cells,0.034482759
Activated CD4+ T-cells,Endothelial cells,-0.017241379
Activated CD4+ T-cells,HLADR+ CD4+ Tregs,0.120689655
Activated CD4+ T-cells,HLADR+ M2 macrophages,0.172413793
Activated CD4+ T-cells,HLADR- CD4+ Tregs,0
Activated CD4+ T-cells,HLADR-high Cholangiocytes,0.068965517
Activated CD4+ T-cells,HLADR-high Endothelial cells,0.137931034
Activated CD4+ T-cells,HLADR-high Hepatocytes,0.344827586
Activated CD4+ T-cells,Hepatocytes,-0.689655172
Activated CD4+ T-cells,Intermediate monocytes,0
Activated CD4+ T-cells,Ki67-high Cholangiocytes,0
Activated CD4+ T-cells,Ki67-high Endothelial cells,0.017241379
Activated CD4+ T-cells,Ki67-high Hepatocytes,0
Activated CD4+ T-cells,M1 macrophages,0.172413793
Activated CD4+ T-cells,M2 macrophages,0.034482759
Activated CD4+ T-cells,Naive CD4+ T-cells,0.224137931
Activated CD4+ T-cells,Neutrophils,-0.120689655
Activated CD4+ T-cells,Non-classical monocytes,0
Activated CD4+ T-cells,PD1+ B cells,0.120689655
Activated CD4+ T-cells,PD1+ CD4+ T-cells,0.137931034
Activated CD4+ T-cells,PD1+ CD8+ T-cells,0.120689655
Activated CD4+ T-cells,PD1+CD28+ CD8+ T-cells,0.155172414
Activated CD4+ T-cells,Plasma cells,0
Activated CD4+ T-cells,Proliferating B cells,0.068965517
Activated CD4+ T-cells,Proliferating CD4+ T-cells,0.051724138
Activated CD4+ T-cells,Proliferating CD8+ T-cells,0.155172414
Activated CD4+ T-cells,Proliferating M1 macrophages,0.017241379
Activated CD4+ T-cells,Proliferating M2 macrophages,0
Activated CD4+ T-cells,Resident memory CD4+ T-cells,-0.120689655
Activated monocytes,Activated monocytes,0.224137931
Activated monocytes,B cells,0.034482759
Activated monocytes,CD11b+ M1 macrophages,0
Activated monocytes,CD11b+ M2 macrophages,0
Activated monocytes,CD16+ CD4+ T-cells,0
Activated monocytes,CD16+ M1 macrophages,0
Activated monocytes,CD16+ M2 macrophages,-0.068965517
Activated monocytes,CD3+ CD4+ T-cells,0.103448276
Activated monocytes,CD3+ CD8+ T-cells,0.189655172
Activated monocytes,Cholangiocytes,0.120689655
Activated monocytes,Classical monocytes,0.448275862
Activated monocytes,Cytotoxic T-cells,0.017241379
Activated monocytes,Endothelial cells,0.017241379
Activated monocytes,HLADR+ CD4+ Tregs,0.068965517
Activated monocytes,HLADR+ M2 macrophages,0.051724138
Activated monocytes,HLADR- CD4+ Tregs,0
Activated monocytes,HLADR-high Cholangiocytes,0.068965517
Activated monocytes,HLADR-high Endothelial cells,0.068965517
Activated monocytes,HLADR-high Hepatocytes,0.224137931
Activated monocytes,Hepatocytes,-0.517241379
Activated monocytes,Intermediate monocytes,0
Activated monocytes,Ki67-high Cholangiocytes,0.017241379
Activated monocytes,Ki67-high Endothelial cells,0.017241379
Activated monocytes,Ki67-high Hepatocytes,0.017241379
Activated monocytes,M1 macrophages,0.051724138
Activated monocytes,M2 macrophages,0
Activated monocytes,Naive CD4+ T-cells,0
Activated monocytes,Neutrophils,-0.103448276
Activated monocytes,Non-classical monocytes,0.086206897
Activated monocytes,PD1+ B cells,0.017241379
Activated monocytes,PD1+ CD4+ T-cells,0.017241379
Activated monocytes,PD1+ CD8+ T-cells,0.034482759
Activated monocytes,PD1+CD28+ CD8+ T-cells,0.017241379
Activated monocytes,Plasma cells,0.017241379
Activated monocytes,Proliferating B cells,0
Activated monocytes,Proliferating CD4+ T-cells,0.034482759
Activated monocytes,Proliferating CD8+ T-cells,0.103448276
Activated monocytes,Proliferating M1 macrophages,0.017241379
Activated monocytes,Proliferating M2 macrophages,0
Activated monocytes,Resident memory CD4+ T-cells,-0.017241379
B cells,B cells,0.689655172
B cells,CD11b+ M1 macrophages,0
B cells,CD11b+ M2 macrophages,0.034482759
B cells,CD16+ CD4+ T-cells,-0.051724138
B cells,CD16+ M1 macrophages,-0.051724138
B cells,CD16+ M2 macrophages,-0.24137931
B cells,CD3+ CD4+ T-cells,0.5
B cells,CD3+ CD8+ T-cells,0.534482759
B cells,Cholangiocytes,-0.137931034
B cells,Classical monocytes,0.086206897
B cells,Cytotoxic T-cells,0.017241379
B cells,Endothelial cells,0
B cells,HLADR+ CD4+ Tregs,0.189655172
B cells,HLADR+ M2 macrophages,0.034482759
B cells,HLADR- CD4+ Tregs,0.034482759
B cells,HLADR-high Cholangiocytes,0.034482759
B cells,HLADR-high Endothelial cells,0.068965517
B cells,HLADR-high Hepatocytes,0.568965517
B cells,Hepatocytes,-0.74137931
B cells,Intermediate monocytes,-0.017241379
B cells,Ki67-high Cholangiocytes,0
B cells,Ki67-high Endothelial cells,0.017241379
B cells,Ki67-high Hepatocytes,0.017241379
B cells,M1 macrophages,-0.086206897
B cells,M2 macrophages,0.017241379
B cells,Naive CD4+ T-cells,0.206896552
B cells,Neutrophils,-0.293103448
B cells,Non-classical monocytes,-0.017241379
