from_label,to_label,sum_sigval
Activated CD4+ T-cells,Activated CD4+ T-cells,0.208333333
Activated CD4+ T-cells,Activated monocytes,0
Activated CD4+ T-cells,B cells,0.083333333
Activated CD4+ T-cells,CD11b+ M1 macrophages,0
Activated CD4+ T-cells,CD11b+ M2 macrophages,0
Activated CD4+ T-cells,CD16+ CD4+ T-cells,0
Activated CD4+ T-cells,CD16+ M1 macrophages,0.041666667
Activated CD4+ T-cells,CD16+ M2 macrophages,0.041666667
Activated CD4+ T-cells,CD3+ CD4+ T-cells,0.333333333
Activated CD4+ T-cells,CD3+ CD8+ T-cells,0.416666667
Activated CD4+ T-cells,Cholangiocytes,0.25
Activated CD4+ T-cells,Classical monocytes,0.041666667
Activated CD4+ T-cells,Cytotoxic T-cells,0.041666667
Activated CD4+ T-cells,Endothelial cells,0.333333333
Activated CD4+ T-cells,HLADR+ CD4+ Tregs,0
Activated CD4+ T-cells,HLADR+ M2 macrophages,0
Activated CD4+ T-cells,HLADR- CD4+ Tregs,0
Activated CD4+ T-cells,HLADR-high Cholangiocytes,0
Activated CD4+ T-cells,HLADR-high Endothelial cells,0.25
Activated CD4+ T-cells,HLADR-high Hepatocytes,0.291666667
Activated CD4+ T-cells,Hepatocytes,-0.75
Activated CD4+ T-cells,Intermediate monocytes,0
Activated CD4+ T-cells,Ki67-high Cholangiocytes,0
Activated CD4+ T-cells,Ki67-high Endothelial cells,0
Activated CD4+ T-cells,Ki67-high Hepatocytes,0.041666667
Activated CD4+ T-cells,M1 macrophages,0.166666667
Activated CD4+ T-cells,M2 macrophages,0
Activated CD4+ T-cells,Naive CD4+ T-cells,0.083333333
Activated CD4+ T-cells,Neutrophils,0.083333333
Activated CD4+ T-cells,Non-classical monocytes,0
Activated CD4+ T-cells,PD1+ B cells,0
Activated CD4+ T-cells,PD1+ CD4+ T-cells,0
Activated CD4+ T-cells,PD1+ CD8+ T-cells,0.041666667
Activated CD4+ T-cells,PD1+CD28+ CD8+ T-cells,0.041666667
Activated CD4+ T-cells,Plasma cells,0.166666667
Activated CD4+ T-cells,Proliferating B cells,0
Activated CD4+ T-cells,Proliferating CD4+ T-cells,0
Activated CD4+ T-cells,Proliferating CD8+ T-cells,0
Activated CD4+ T-cells,Proliferating M1 macrophages,0.041666667
Activated CD4+ T-cells,Proliferating M2 macrophages,0
Activated CD4+ T-cells,Resident memory CD4+ T-cells,0
Activated monocytes,Activated monocytes,0.083333333
Activated monocytes,B cells,0
Activated monocytes,CD11b+ M1 macrophages,0
Activated monocytes,CD11b+ M2 macrophages,0
Activated monocytes,CD16+ CD4+ T-cells,0
Activated monocytes,CD16+ M1 macrophages,0.041666667
Activated monocytes,CD16+ M2 macrophages,0
Activated monocytes,CD3+ CD4+ T-cells,0.041666667
Activated monocytes,CD3+ CD8+ T-cells,0.125
Activated monocytes,Cholangiocytes,0.083333333
Activated monocytes,Classical monocytes,0.166666667
Activated monocytes,Cytotoxic T-cells,0
Activated monocytes,Endothelial cells,0.041666667
Activated monocytes,HLADR+ CD4+ Tregs,0
Activated monocytes,HLADR+ M2 macrophages,0
Activated monocytes,HLADR- CD4+ Tregs,0
Activated monocytes,HLADR-high Cholangiocytes,0.041666667
Activated monocytes,HLADR-high Endothelial cells,0.041666667
Activated monocytes,HLADR-high Hepatocytes,0.083333333
Activated monocytes,Hepatocytes,-0.291666667
Activated monocytes,Intermediate monocytes,0
Activated monocytes,Ki67-high Cholangiocytes,0
Activated monocytes,Ki67-high Endothelial cells,0
Activated monocytes,Ki67-high Hepatocytes,0
Activated monocytes,M1 macrophages,0
Activated monocytes,M2 macrophages,0
Activated monocytes,Naive CD4+ T-cells,0
Activated monocytes,Neutrophils,0
Activated monocytes,Non-classical monocytes,0
Activated monocytes,PD1+ B cells,0
Activated monocytes,PD1+ CD4+ T-cells,0
Activated monocytes,PD1+ CD8+ T-cells,0
Activated monocytes,PD1+CD28+ CD8+ T-cells,0.041666667
Activated monocytes,Plasma cells,0.041666667
Activated monocytes,Proliferating B cells,0
Activated monocytes,Proliferating CD4+ T-cells,0
Activated monocytes,Proliferating CD8+ T-cells,0
Activated monocytes,Proliferating M1 macrophages,0
Activated monocytes,Proliferating M2 macrophages,0
Activated monocytes,Resident memory CD4+ T-cells,0
B cells,B cells,0.416666667
B cells,CD11b+ M1 macrophages,0
B cells,CD11b+ M2 macrophages,0.041666667
B cells,CD16+ CD4+ T-cells,0
B cells,CD16+ M1 macrophages,0
B cells,CD16+ M2 macrophages,0
B cells,CD3+ CD4+ T-cells,0.125
B cells,CD3+ CD8+ T-cells,0.208333333
B cells,Cholangiocytes,0.291666667
B cells,Classical monocytes,0.041666667
B cells,Cytotoxic T-cells,0
B cells,Endothelial cells,0.333333333
B cells,HLADR+ CD4+ Tregs,0
B cells,HLADR+ M2 macrophages,0
B cells,HLADR- CD4+ Tregs,0.041666667
B cells,HLADR-high Cholangiocytes,0
B cells,HLADR-high Endothelial cells,0.041666667
B cells,HLADR-high Hepatocytes,0.125
B cells,Hepatocytes,-0.625
B cells,Intermediate monocytes,0
B cells,Ki67-high Cholangiocytes,0
B cells,Ki67-high Endothelial cells,0.041666667
B cells,Ki67-high Hepatocytes,0.041666667
B cells,M1 macrophages,0.125
B cells,M2 macrophages,0
B cells,Naive CD4+ T-cells,0
B cells,Neutrophils,0.041666667
B cells,Non-classical monocytes,0.041666667
B cells,PD1+ B cells,0.125
B cells,PD1+ CD4+ T-cells,0
B cells,PD1+ CD8+ T-cells,0.041666667
B cells,PD1+CD28+ CD8+ T-cells,0.041666667
B cells,Plasma cells,0
B cells,Proliferating B cells,0.041666667
B cells,Proliferating CD4+ T-cells,0
B cells,Proliferating CD8+ T-cells,0
B cells,Proliferating M1 macrophages,0.041666667
B cells,Proliferating M2 macrophages,0
B cells,Resident memory CD4+ T-cells,-0.083333333
CD11b+ M1 macrophages,CD11b+ M1 macrophages,0
CD11b+ M1 macrophages,CD11b+ M2 macrophages,0.041666667
CD11b+ M1 macrophages,CD16+ CD4+ T-cells,0
CD11b+ M1 macrophages,CD16+ M1 macrophages,0
CD11b+ M1 macrophages,CD16+ M2 macrophages,0
CD11b+ M1 macrophages,CD3+ CD4+ T-cells,0
CD11b+ M1 macrophages,CD3+ CD8+ T-cells,0
CD11b+ M1 macrophages,Cholangiocytes,0
CD11b+ M1 macrophages,Classical monocytes,0
CD11b+ M1 macrophages,Cytotoxic T-cells,0
CD11b+ M1 macrophages,Endothelial cells,0
CD11b+ M1 macrophages,HLADR+ CD4+ Tregs,0
CD11b+ M1 macrophages,HLADR+ M2 macrophages,0.083333333
CD11b+ M1 macrophages,HLADR- CD4+ Tregs,0
CD11b+ M1 macrophages,HLADR-high Cholangiocytes,0
CD11b+ M1 macrophages,HLADR-high Endothelial cells,0
CD11b+ M1 macrophages,HLADR-high Hepatocytes,0
CD11b+ M1 macrophages,Hepatocytes,-0.041666667
CD11b+ M1 macrophages,Intermediate monocytes,0
CD11b+ M1 macrophages,Ki67-high Cholangiocytes,0
CD11b+ M1 macrophages,Ki67-high Endothelial cells,0
CD11b+ M1 macrophages,Ki67-high Hepatocytes,0
CD11b+ M1 macrophages,M1 macrophages,0.041666667
CD11b+ M1 macrophages,M2 macrophages,0
CD11b+ M1 macrophages,Naive CD4+ T-cells,0
CD11b+ M1 macrophages,Neutrophils,0
CD11b+ M1 macrophages,Non-classical monocytes,0
CD11b+ M1 macrophages,PD1+ B cells,0
CD11b+ M1 macrophages,PD1+ CD4+ T-cells,0
CD11b+ M1 macrophages,PD1+ CD8+ T-cells,0
CD11b+ M1 macrophages,PD1+CD28+ CD8+ T-cells,0
CD11b+ M1 macrophages,Plasma cells,0
