image,width_px,height_px,num_channels
SP00_1543_CR_001.tiff,1000,1000,22
SP01_3915_CR_001.tiff,1000,1000,22
SP03_2432_CR_001.tiff,1112,913,22
SP04_5797_CR_001.tiff,1054,963,22
SP04_6177_CR_001.tiff,1059,970,22
SP08_8_CR_001.tiff,1032,973,22
SP09_259_CR_001.tiff,1096,909,22
SP11_1305_CR_001.tiff,1156,891,22
SP13_5321_CR_001.tiff,1146,898,22
SP13_5725_CR_001.tiff,962,1058,22
SP16_1902_001.tiff,1082,927,22
SP17_1753_NR_001.tiff,873,1138,22
SP17_5427_NR_001.tiff,1155,858,22
SP17_7659_NR_001.tiff,1149,880,22
SP17_8628_CR_001.tiff,945,1065,22
SP17_9809_NR_001.tiff,1107,906,22
SP18_13009_CR_001.tiff,1000,1000,22
SP18_13566_NR_001.tiff,1000,1000,22
SP18_213_CR_001.tiff,1000,1000,22
SP18_2369A1_001.tiff,921,1084,22
SP18_3825A1_001.tiff,411,1090,22
SP18_3825A1_002.tiff,411,1057,22
SP18_4465_CR_001.tiff,984,1014,22
SP18_7378_NR_001.tiff,1000,1000,22
SP19_10094_NR_001.tiff,655,1494,22
SP19_10445_001.tiff,1096,394,22
SP19_10445_002.tiff,1096,529,22
SP19_12144_002.tiff,938,357,22
SP19_12144_003.tiff,730,357,22
SP19_13104_NR_001.tiff,1037,980,22
SP19_13300.tiff,750,1311,22
SP19_13381A1_001.tiff,1000,1000,22
SP19_1689_NR_001.tiff,1095,925,22
SP19_1715A1_001.tiff,338,308,22
SP19_1715A1_002.tiff,455,614,22
SP19_1715A1_003.tiff,367,379,22
SP19_1715A1_004.tiff,278,379,22
SP19_1892_001.tiff,954,430,22
SP19_1892_002.tiff,773,667,22
SP19_2006_001.tiff,670,1050,22
SP19_2006_002.tiff,233,1069,22
SP19_2277_NR_001.tiff,1105,927,22
SP19_7279_NR_001.tiff,1092,934,22
SP19_8069_001.tiff,782,611,22
SP19_8069_002.tiff,757,606,22
SP19_9797_001.tiff,1018,982,22
SP20_11706_NR_001.tiff,1870,551,22
SP20_11758_NR_001.tiff,1025,991,22
SP20_2886_001.tiff,446,1000,22
SP20_2886_002.tiff,464,1011,22
SP20_3128_002.tiff,941,289,22
SP20_3128_003.tiff,535,253,22
SP20_3128_004.tiff,605,256,22
SP20_3128_005.tiff,763,240,22
SP20_3382A1_001.tiff,931,1064,22
SP20_3601_001.tiff,447,1051,22
SP20_3601_002.tiff,447,1051,22
SP20_3668_001.tiff,440,1044,22
SP20_3668_002.tiff,440,1104,22
SP20_4548_001.tiff,1000,1000,22
SP20_6053_NR_001.tiff,1156,877,22
SP20_6085_NR_001.tiff,1105,909,22
SP20_6708_001.tiff,1000,1000,22
SP20_7546_001.tiff,824,1180,22
SP20_7572_001.tiff,1000,1000,22
SP20_7880_001.tiff,917,1089,22
SP20_8599_NR_001.tiff,1060,959,22
SP20_928_001.tiff,553,597,22
SP20_928_002.tiff,645,813,22
SP21_1320_001.tiff,985,1005,22
SP21_1610_001.tiff,1147,878,22
SP21_1786_001.tiff,929,1080,22
SP21_1931_001.tiff,1001,1044,22
SP21_2168_001.tiff,1000,1000,22
SP21_2370_NR_001.tiff,826,1199,22
SP21_2461_001.tiff,1095,925,22
SP21_2495_001.tiff,882,1202,22
SP21_2563_NR_001.tiff,1056,948,22
SP21_2603_001.tiff,965,1078,22
SP21_2829_001.tiff,1021,991,22
SP21_301_001.tiff,550,1092,22
SP21_301_002.tiff,322,1092,22
SP21_336_001.tiff,948,1051,22
SP21_3546_001.tiff,1119,917,22
SP21_3775_001.tiff,1101,925,22
SP21_414_A1_001.tiff,898,1186,22
SP21_6217_NR_001.tiff,1191,830,22
SP21_6323_NR_001.tiff,1176,846,22
SP21_6623_001.tiff,1007,1031,22
SP21_712_001.tiff,1063,958,22
SP21_725_001.tiff,887,1133,22
SP21_8054_NR_001.tiff,915,1084,22
SP21_8904_NR_001.tiff,1082,934,22
SP21_9015_NR_001.tiff,1009,1005,22
SP21_9021_NR_001.tiff,1152,885,22
SP_18_14559_001.tiff,936,1026,22
