Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.523809523809524,0.0,0.0,23.904761904761905,0.0,26.142857142857142,48.04761904761905
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.695652173913043,0.0,12.478260869565217,9.347826086956522,0.0,16.17391304347826,28.08695652173913
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8125,0.125,0.0,9.375,0.0,19.75,30.5
4,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.57692307692308,1.0384615384615385,0.0,17.73076923076923,0.0,14.923076923076923,26.884615384615383
5,0.85,0.0,0.0,0.0,0.0,1.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15,0.3,0.0,9.55,0.0,15.65,29.9
6,0.18421052631578946,0.0,0.0,0.0,0.0,2.1315789473684212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.10526315789473684,0.0,20.605263157894736,0.0,22.342105263157894,37.28947368421053
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,2.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,4.96969696969697,0.030303030303030304,0.0,3.121212121212121,0.0,43.06060606060606,74.27272727272727
8,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,1.096774193548387,1.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.419354838709678,1.935483870967742,0.0,3.838709677419355,0.0,38.354838709677416,64.70967741935483
9,0.0,0.0,0.0,0.0,9.636363636363637,0.0,0.0,0.7272727272727273,0.0,0.0,23.90909090909091,0.0,0.0,0.0,0.0,13.090909090909092,0.0,0.0,72.86363636363636,0.0,37.04545454545455,65.0
10,0.7708333333333334,0.0,0.0,1.7708333333333333,0.0,0.0,0.041666666666666664,3.2916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.416666666666666,2.0833333333333335,0.0,13.604166666666666,0.0,34.333333333333336,60.333333333333336
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.15909090909091,0.0,0.6818181818181818,2.0454545454545454,0.0,32.45454545454545,54.84090909090909
12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,1.725,0.0,2.925,0.0,39.675,67.825
13,0.0,0.0,0.0,0.0,0.0,0.0,1.2758620689655173,1.5172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,1.5862068965517242,19.06896551724138,1.3448275862068966,0.0,8.517241379310345,0.0,34.93103448275862,62.310344827586206
14,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.69047619047619,0.0,0.0,2.1666666666666665,0.0,44.42857142857143,73.47619047619048
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9743589743589745,0.0,0.0,4.153846153846154,16.0,21.564102564102566,37.92307692307692
16,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.387755102040817,0.3877551020408163,0.0,8.938775510204081,0.0,48.775510204081634,78.85714285714286
