Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,58.23076923076923,0.0,3.769230769230769,18.96153846153846,0.0,24.03846153846154,39.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.947368421052632,0.0,2.1578947368421053,0.0,0.0,12.578947368421053,18.526315789473685
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.147058823529411,0.0,2.676470588235294,0.20588235294117646,0.0,11.764705882352942,18.11764705882353
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.568181818181818,0.0,1.75,0.0,0.0,17.15909090909091,25.318181818181817
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4375,0.0,3.09375,0.0,0.0,10.75,19.40625
6,0.0,0.0,0.0,0.4383561643835616,6.205479452054795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.178082191780822,0.0,1.821917808219178,2.3698630136986303,0.0,20.643835616438356,37.73972602739726
7,0.0,0.0,0.0,0.0,0.2711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.288135593220339,0.0,1.4915254237288136,0.2033898305084746,0.0,13.322033898305085,22.983050847457626
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,9.227272727272727,14.318181818181818
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.647058823529413,0.0,0.6078431372549019,0.0,0.0,34.68627450980392,60.78431372549019
10,0.0,0.0,0.0,0.0,0.9651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4186046511627906,0.0,2.5930232558139537,0.8372093023255814,0.0,10.767441860465116,18.046511627906977
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3838383838383839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.848484848484848,0.0,4.181818181818182,0.0,0.0,19.171717171717173,33.111111111111114
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.49382716049382713,10.17283950617284,0.0,0.4444444444444444,0.0,0.0,29.234567901234566,47.72839506172839
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.9481481481481482,0.0,0.0,18.51851851851852,29.844444444444445
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.5974025974025974,0.0,0.0,17.48051948051948,31.25974025974026
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22023809523809523,0.0,0.0,1.9107142857142858,0.0,1.5357142857142858,0.0,0.0,12.910714285714286,20.30952380952381
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.202898550724637,0.0,4.333333333333333,0.0,0.0,9.884057971014492,16.782608695652176
