Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.571428571428571,0.0,2.0,0.0,0.0,5.785714285714286,9.142857142857142
2,0.0,0.0,0.0,0.0,1.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.954545454545454,0.0,0.0,0.9545454545454546,0.0,5.2727272727272725,12.5
3,1.5833333333333333,0.0,0.0,5.833333333333333,8.083333333333334,0.0,0.0,0.0,0.0,0.0,4.583333333333333,0.0,0.0,0.0,0.0,14.583333333333334,0.0,0.0,0.0,0.0,7.5,13.0
4,0.7419354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.258064516129032,0.03225806451612903,5.451612903225806,0.0,0.0,8.741935483870968,16.677419354838708
5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.4888888888888889,0.0,0.0,7.466666666666667,11.4
6,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9066666666666666,1.3,0.38666666666666666,0.0,0.0,0.0,0.0,2.2466666666666666,27.14666666666667,1.0333333333333334,1.04,0.5266666666666666,0.0,17.9,31.893333333333334
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22033898305084745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.169491525423728,0.0,0.06779661016949153,0.0,0.0,10.11864406779661,16.915254237288135
8,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,14.272727272727273,1.1818181818181819,0.0,4.7272727272727275,8.909090909090908
9,0.16923076923076924,0.0,0.0,1.4615384615384615,0.6307692307692307,0.0,0.0,0.9230769230769231,0.4461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,1.876923076923077,2.707692307692308,0.0,23.73846153846154,41.30769230769231
10,0.0,0.0,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,0.8863636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.20454545454545456,0.0,0.0,6.0,13.454545454545455
11,0.0,0.0,0.0,3.272727272727273,0.0,0.0,0.0,2.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.636363636363637,0.0,0.0,0.0,0.0,8.181818181818182,13.545454545454545
12,0.06493506493506493,0.0,0.0,1.6363636363636365,4.883116883116883,0.0,0.0,0.06493506493506493,0.0,0.0,9.246753246753247,0.0,0.0,0.0,0.0,4.714285714285714,0.0,0.0,1.6103896103896105,0.0,16.506493506493506,30.272727272727273
13,0.8059701492537313,0.0,0.0,5.895522388059701,3.5671641791044775,0.0,0.0,0.0,0.0,0.0,15.164179104477611,0.0,0.0,0.0,0.0,10.194029850746269,0.0,0.3582089552238806,0.0,0.0,6.104477611940299,12.074626865671641
