Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.7222222222222222,0.0,0.0,15.333333333333334,17.944444444444443,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.055555555555557,0.0,7.888888888888889,3.7222222222222223,0.0,12.38888888888889,28.22222222222222
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.666666666666664,0.0,0.0,0.25,0.0,9.75,16.833333333333332
3,0.0,0.0,0.0,10.210526315789474,6.315789473684211,0.0,0.0,6.684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.421052631578947,0.0,1.263157894736842,3.3157894736842106,0.0,15.0,29.157894736842106
4,0.0,0.0,0.0,6.56,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,2.12,1.52,0.0,13.48,29.04
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,7.428571428571429,0.0,0.0,46.642857142857146,83.78571428571429
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,8.5,0.0,0.0,42.2,71.55
7,1.6818181818181819,0.0,0.0,3.590909090909091,0.0,0.0,0.0,2.772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,47.86363636363637,82.9090909090909
8,0.0,0.0,0.0,5.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,4.888888888888889,0.0,8.555555555555555,16.22222222222222
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0256410256410255,0.0,0.4358974358974359,2.0,0.0,39.84615384615385,73.51282051282051
10,1.25,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4375,0.0,7.5625,10.5,0.0,10.375,18.25
11,1.65,0.0,0.0,1.9,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45,0.0,6.85,0.0,0.0,5.3,12.1
12,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,1.8928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,1.2142857142857142,0.0,0.0,20.535714285714285,34.107142857142854
13,1.0140845070422535,0.0,0.0,8.23943661971831,6.647887323943662,0.0,0.0,5.802816901408451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19718309859155,0.0,8.985915492957746,0.5352112676056338,0.0,18.098591549295776,31.661971830985916
