Object,Neighbor,Distance
1,74,14.6178055
1,147,13.87228
1,148,10.852505
1,172,14.023804
2,16,12.515615
2,67,4.9597063
2,78,11.414772
2,85,8.775181
3,39,14.610082
3,40,6.1852055
3,101,9.167024
3,105,13.252955
4,18,6.803742
4,103,9.926189
4,106,9.465566
5,6,12.342032
5,51,7.7953744
5,80,10.933226
6,77,6.728529
6,80,6.6697454
6,136,13.194705
7,104,8.014911
8,34,10.516581
8,42,12.489669
8,49,6.151652
8,128,14.955756
9,27,12.352981
9,58,13.37754
9,84,8.704328
9,98,7.1936116
9,109,12.086476
10,59,7.2566013
10,74,6.4555087
10,94,12.129717
10,129,11.096598
11,62,6.3521595
11,110,10.073124
11,134,11.903478
12,64,7.8742447
12,75,10.220019
12,112,7.949134
13,79,11.477513
13,120,11.488062
14,86,6.420939
15,61,10.3830185
15,90,7.790251
15,158,14.506837
16,67,13.774103
16,78,6.2456927
17,70,8.848992
17,86,14.761461
17,102,6.4615164
17,152,14.56896
17,157,13.2093725
18,48,8.319588
18,103,13.881578
18,106,6.616478
18,130,14.835781
19,42,8.202289
19,82,6.142206
19,131,12.168868
20,21,12.992661
20,71,8.001142
20,108,9.212199
21,92,10.562042
21,108,13.824251
22,55,10.06387
22,72,11.775431
22,118,10.362568
22,122,11.444207
22,123,14.500932
23,37,9.088841
23,73,14.726393
23,132,11.170884
24,57,8.034947
24,73,8.47846
24,96,7.3692036
25,26,12.471489
25,97,10.032073
26,146,13.914958
26,178,10.658884
27,45,10.97002
27,99,7.673154
27,109,8.901826
28,70,9.666412
28,153,13.633641
29,30,12.166207
29,81,14.093754
29,87,9.990413
29,117,11.490133
30,31,11.620713
30,81,4.4764543
30,117,10.383079
30,159,12.814349
31,52,7.684102
31,81,11.730612
31,121,10.776754
32,33,11.580024
32,54,9.196096
32,127,10.788953
33,91,9.671161
33,145,12.262312
34,71,11.603626
34,165,13.893189
35,92,12.508665
35,139,13.91849
36,43,13.31029
36,83,13.788788
36,88,5.1310143
36,150,12.5802555
37,132,12.757629
38,50,9.236141
38,124,9.944009
39,40,8.506782
39,100,6.2099037
40,100,11.272999
40,101,11.608864
41,65,7.741817
41,135,12.778383
41,149,11.948155
42,49,6.9070497
42,82,6.1506257
42,128,10.160859
42,131,14.069913
43,72,11.372091
43,83,5.0289917
43,88,13.576461
43,93,6.8092117
43,166,14.012355
44,57,11.24403
44,133,11.566729
45,99,8.348264
45,168,11.660687
46,110,10.365032
46,119,8.418062
46,179,14.735665
47,101,14.099874
47,105,9.559283
47,113,7.200487
47,151,13.729165
48,106,10.892455
48,130,13.343431
49,82,11.890548
49,128,9.682788
50,68,13.930015
50,124,10.6687565
51,76,8.313363
51,116,8.43023
51,170,13.921902
51,193,14.555761
52,121,8.727965
53,54,9.717099
53,107,9.003415
53,176,14.119419
54,127,9.724799
55,56,13.873386
55,122,10.2197075
55,123,8.115382
55,140,12.779995
56,140,13.378145
56,167,12.841997
57,96,6.392069
57,133,11.6505575
58,84,6.9208755
58,98,11.950803
58,146,9.599115
59,74,11.493868
59,94,5.073195
59,129,7.9254746
60,62,11.818819
60,94,12.619313
60,160,11.228962
60,161,13.693007
61,90,13.800997
61,125,8.796186
61,158,11.969532
62,110,12.530591
62,134,10.987376
62,161,12.605242
63,89,14.401571
63,155,13.273565
63,180,12.284163
64,68,12.619968
64,112,7.295161
64,143,11.636304
64,162,11.235427
65,103,10.551686
65,149,9.469305
65,164,11.570363
66,76,14.942605
67,78,10.269501
67,85,5.5307646
67,111,13.880187
67,181,11.526378
68,143,7.944682
