Object,Neighbor,Distance
1,15,6.69894
1,21,6.9197936
1,34,13.812305
1,38,9.119112
1,57,12.275598
2,20,9.409074
2,51,11.317569
2,60,13.521501
3,8,10.341378
3,22,14.744153
3,27,6.919407
3,28,8.248705
3,35,6.1165023
3,47,14.355199
3,61,14.823635
4,16,8.901886
4,32,10.705276
4,45,10.713468
5,6,7.764782
5,10,7.5544367
5,29,13.541894
5,36,12.911891
5,37,10.380213
5,53,13.270256
5,58,14.293317
6,29,6.4409995
6,30,11.952993
6,37,7.020037
6,46,14.335175
6,58,12.480615
7,15,14.380052
7,22,10.931948
7,33,5.6111183
7,34,11.010565
7,52,12.475443
8,23,9.047625
8,28,4.8675485
8,35,11.764323
8,42,13.220212
8,55,11.116178
8,61,14.0695095
9,24,8.585815
9,39,8.311925
9,40,10.596976
9,62,14.422799
10,25,10.598337
10,36,6.915369
10,48,14.448056
10,53,10.881891
11,50,10.716695
11,59,12.987328
12,13,12.226978
12,31,7.0137577
12,41,11.221717
12,56,12.197852
13,43,9.847304
13,56,13.715167
14,19,9.65612
14,54,14.787346
15,21,12.224282
15,33,13.027885
15,34,7.802539
15,38,6.670895
15,52,13.157176
15,57,13.192737
15,66,12.756127
15,72,14.287577
16,25,6.863733
16,36,14.189223
16,45,10.2922735
16,48,11.226173
16,63,11.137319
18,30,11.620056
18,46,14.33008
18,49,9.227298
19,26,9.522512
19,44,13.452533
19,54,8.9284725
20,26,8.485815
20,44,9.503411
20,51,10.137464
20,64,11.263456
20,70,13.392958
21,38,10.530994
21,57,8.880681
21,65,10.5042515
22,27,8.679575
22,33,12.872052
22,35,14.749004
22,47,7.932936
23,28,11.814829
23,40,10.539586
23,42,6.1020226
23,55,11.429204
23,62,14.286255
23,74,11.941433
24,31,9.615584
24,39,5.8130217
24,40,14.899335
24,41,9.074045
24,77,12.093344
25,36,7.4058414
25,45,14.463439
25,48,7.445406
25,53,13.829746
25,63,10.5027895
25,78,12.135166
26,44,6.0992713
26,54,10.742411
26,64,13.99992
26,70,12.235419
27,28,12.9115305
27,35,6.2248073
27,47,7.6428876
27,73,13.130911
28,35,7.392947
28,42,14.027393
28,55,8.376274
28,61,9.702841
28,73,13.188467
28,74,14.594471
28,87,14.940236
29,30,6.08803
29,37,6.3018627
29,46,7.933059
29,49,14.1495
29,58,10.6022215
29,76,13.60536
29,80,13.165899
30,37,11.911563
30,46,5.457538
30,49,8.774697
30,58,14.895227
30,76,10.820288
30,80,13.376627
31,39,14.245567
31,41,4.6284738
31,56,12.988627
32,45,13.074425
32,67,9.890526
32,79,13.403732
33,34,6.9552016
33,38,14.080518
33,52,6.9338384
33,66,11.742173
33,81,11.813685
34,38,7.1311893
34,52,5.410557
34,57,13.750531
34,66,6.899221
34,72,10.804484
34,81,11.977891
35,47,11.069767
35,55,12.277405
35,61,9.4430485
35,73,9.328561
36,48,7.929559
36,53,6.6766505
36,63,12.978585
36,78,10.037019
36,88,13.823833
37,46,11.312789
37,53,14.230577
37,58,5.476066
37,80,12.433531
37,85,12.317345
37,103,14.493726
38,52,10.700135
38,57,7.200304
38,66,7.7891006
38,72,7.80815
38,86,13.266184
39,40,9.824534
39,41,11.963302
39,62,10.581142
39,77,8.747551
40,42,7.9489093
40,62,4.968968
40,74,13.0573
40,77,14.8390465
40,90,11.687916
40,99,14.51873
41,56,13.066004
41,77,11.241229
41,83,13.033204
42,55,9.452622
42,62,9.775619
42,74,6.6968718
42,90,12.894545
42,96,12.773631
43,56,11.49591
43,69,6.656685
43,75,7.7743225
43,100,12.700799
44,51,12.735884
44,54,9.895733
44,64,8.922273
44,70,6.139033
44,94,13.37793
44,98,14.013114
45,48,12.853998
45,63,8.5574045
45,79,8.911177
45,82,6.877563
45,102,12.416871
45,105,14.560348
45,108,13.6690645
46,49,7.401338
46,58,12.176469
46,76,5.8225355
46,80,8.111729
46,92,14.066578
46,97,11.580565
46,103,13.898202
47,73,12.067913
47,111,14.264211
48,53,11.238759
48,63,5.0976143
48,78,4.914881
48,82,12.145007
48,88,14.013954
48,105,12.754962
48,112,13.6501465
49,76,6.9943924
49,80,13.095879
49,92,10.101009
49,97,12.79997
50,59,9.216433
50,89,12.274363
51,60,5.609094
51,64,5.7797194
51,70,11.496265
51,93,14.552442
51,98,13.026416
52,66,5.2837515
52,72,10.317873
52,81,6.6025405
52,110,14.727333
53,58,12.7030115
53,78,10.131837
53,85,13.048354
53,88,8.309261
54,70,12.674948
54,94,9.83049
54,95,11.875715
55,61,5.820351
55,73,11.361496
55,74,6.7730455
55,87,7.847201
55,96,10.392355
56,75,7.0123873
56,83,7.651569
56,100,12.951753
56,117,14.773106
57,65,10.487308
57,66,10.825475
57,72,6.9198313
57,86,7.548501
57,109,14.45233
58,76,14.680177
58,80,9.478359
58,85,6.871587
58,88,14.774306
58,103,9.622804
59,60,11.4503975
59,89,6.5855227
59,93,9.071277
60,64,9.976791
60,89,13.544382
60,93,9.231051
60,98,14.5758295
60,120,14.252705
61,73,5.547149
61,74,11.283783
61,87,6.0525937
61,96,12.107904
62,74,12.370496
62,77,12.253803
62,90,7.0449715
62,99,9.656604
62,107,14.347676
62,116,14.291859
63,78,7.081976
63,79,14.605438
63,82,7.094901
63,102,11.769267
63,105,9.712815
63,112,13.298547
64,70,5.8652563
64,98,8.366654
65,71,10.20911
65,86,12.451027
65,104,14.896217
65,109,10.334207
66,72,5.0341525
66,81,8.516709
66,86,12.328428
67,79,9.885699
67,84,6.147371
67,91,5.59397
67,101,9.695287
67,108,13.792725
67,118,12.155689
68,71,13.687018
68,104,14.570186
68,106,12.371762
68,114,10.704259
69,75,9.399395
69,100,10.193957
69,129,13.908757
70,94,11.044263
70,98,7.9394646
70,133,14.888782
71,104,7.8514643
71,109,14.51884
72,81,12.3440275
72,86,7.3689814
73,87,8.956987
73,126,12.945193
74,87,9.159697
74,90,11.5027685
74,96,6.1953936
74,116,12.299551
75,83,10.59248
75,100,6.867005
75,123,12.291454
76,80,6.5024643
76,92,8.761201
76,97,6.368296
76,103,12.182019
76,115,13.133203
76,125,12.8833
77,90,14.688873
77,99,10.130938
77,107,7.787778
77,113,12.156166
78,82,12.620122
78,88,9.94523
78,105,10.028557
78,112,8.985683
79,82,8.094431
79,84,14.496834
79,91,9.312908
79,102,9.273878
79,105,14.746838
79,108,6.219192
79,118,14.725772
80,85,10.541457
80,92,13.81926
80,97,6.575228
80,103,5.9897304
80,122,12.90095
80,125,10.473578
81,110,8.355481
82,102,5.8602448
82,105,8.02939
82,108,9.398091
82,112,14.712111
82,124,11.54731
83,100,12.790197
83,113,10.965651
83,117,7.380909
83,123,14.771751
83,128,10.488619
83,137,13.451779
84,91,5.922618
84,101,4.3869433
84,118,8.909504
84,119,9.543719
84,138,13.138735
85,88,10.834568
85,103,6.442016
85,121,12.797715
85,122,9.188649
85,132,11.070902
86,109,9.943614
86,135,11.755245
86,147,12.799134
87,96,6.9992437
87,126,12.443039
88,112,10.09246
88,121,7.862948
88,132,13.539169
88,140,14.032883
89,93,6.0157204
89,120,13.1702
89,155,14.9733305
90,96,11.926607
90,99,6.439359
90,107,12.7270565
90,116,7.536253
90,143,12.539976
91,101,6.602025
91,108,10.478127
91,118,6.9346223
91,119,11.886598
91,138,13.414187
91,149,12.912822
92,97,8.660116
92,115,5.3197703
92,125,13.60172
93,120,8.513722
93,148,13.243732
93,155,14.745265
94,95,9.27315
94,98,13.93024
94,141,13.874404
95,106,7.4573746
95,141,11.297878
96,116,8.716701
97,103,9.353869
97,115,10.432753
97,122,13.927011
97,125,6.620967
97,160,13.863389
98,120,14.155869
98,133,7.900761
98,146,12.320881
99,107,6.3079686
99,116,11.569992
99,143,9.913167
99,144,12.158549
100,117,14.177244
100,123,5.735311
100,128,11.578161
100,129,10.035143
100,150,12.013264
100,154,12.438528
100,165,14.458758
101,118,5.385216
101,119,5.6081815
101,127,12.600645
101,138,8.754513
101,149,11.28032
102,105,6.2612
102,108,6.2673388
102,112,13.4268465
102,124,6.291969
102,139,12.151295
103,122,7.129233
103,125,8.943998
103,132,11.804115
103,159,13.683563
103,160,14.939127
104,109,13.280168
104,114,11.614258
104,134,11.345494
104,136,8.032787
105,108,12.519124
