Object,Neighbor,Distance
1,29,10.167031
3,21,13.118405
3,26,5.0753784
3,36,13.407756
4,27,6.4316487
5,14,9.0738735
5,18,10.035295
6,17,11.773145
7,28,5.32429
8,15,12.25246
8,38,13.796231
9,24,12.071374
9,29,10.272896
9,32,6.738521
10,42,11.457264
10,46,12.244417
10,48,14.298644
11,49,12.555575
13,24,13.460775
15,53,14.201749
16,35,11.01618
17,47,12.046759
18,40,9.605661
19,20,12.324685
19,45,14.960341
20,34,6.9044676
20,39,14.655226
20,45,12.040492
21,26,14.097931
21,39,10.80918
22,30,8.546039
23,25,14.629078
23,51,12.182758
24,32,10.077677
25,55,12.4641485
25,59,14.8548155
26,36,9.305162
27,41,14.609155
28,52,11.298145
29,32,9.983261
30,37,7.429937
31,57,14.782068
32,58,11.79691
34,39,8.266933
34,45,9.689304
38,66,13.768399
39,77,14.847497
39,82,14.056231
40,57,14.3474455
40,71,12.304109
41,60,9.685192
41,67,14.305972
41,72,11.639674
42,46,8.266415
43,54,6.1477594
43,64,9.1287
44,61,7.4646826
44,67,12.97402
44,68,12.393583
44,80,13.489259
46,48,7.8868556
46,74,10.361218
47,63,9.648459
47,65,9.57665
48,74,12.896142
49,52,14.790636
50,69,7.1430006
50,81,12.091734
50,84,12.89119
51,59,10.289155
51,70,11.81314
53,55,9.485731
53,86,10.7206955
54,64,11.535492
54,76,10.613548
55,59,6.2062097
55,86,11.463762
57,71,11.045197
57,91,12.473539
58,78,12.275275
59,86,14.053553
60,61,12.198692
60,67,6.164064
60,72,6.777102
60,79,12.880143
60,87,8.484719
60,94,13.219227
61,67,6.4691334
61,68,11.416095
61,80,7.7175627
62,81,10.86171
62,95,10.060811
63,65,13.821362
64,76,14.067203
64,88,8.095844
64,89,12.624712
64,97,13.517961
65,104,13.819303
66,93,9.023174
67,72,12.317872
67,80,10.700734
67,87,10.286233
68,80,8.2599
69,81,9.067889
69,84,6.7276435
69,105,11.6295595
70,90,7.7101045
71,102,9.800333
72,73,11.09394
72,79,6.1139913
72,87,7.3830748
72,94,7.9039536
72,114,14.655351
73,79,6.206363
73,94,12.748364
74,111,13.738103
76,88,12.223296
76,89,7.0410123
76,98,11.453379
76,110,13.426257
77,82,11.29447
78,108,14.348602
79,87,11.16266
79,94,6.8161216
79,121,14.200424
81,84,5.9403715
81,105,10.178647
82,106,11.807953
83,107,14.407577
83,123,13.255307
84,105,5.5137315
84,122,11.423659
85,96,10.817811
86,115,13.486463
87,94,7.0479846
87,114,9.0002365
87,125,12.652477
88,89,6.9195495
88,97,11.933961
88,110,7.7298675
89,98,14.1060705
89,110,6.467519
90,120,10.740612
90,128,14.008472
91,102,14.143116
91,112,12.868922
91,113,10.541734
91,116,9.24786
92,95,8.779863
92,137,14.389286
93,119,9.460453
93,124,11.681023
94,114,8.2286625
94,121,12.143489
94,127,9.932137
96,100,6.7175045
97,109,9.607991
98,106,11.600698
98,135,12.722616
101,130,13.116969
101,133,10.427352
102,113,7.182296
102,134,12.72402
103,131,9.725194
105,122,6.1020136
106,135,10.994143
107,123,12.862681
108,112,12.804762
110,143,12.885614
111,138,9.770825
112,116,11.03493
112,141,14.770001
113,116,8.15293
113,134,10.945084
113,141,13.224117
114,121,14.473343
114,125,8.695289
114,127,8.25294
114,145,10.651383
115,132,12.31568
115,140,10.644247
116,141,8.180769
117,129,7.458867
119,124,12.545309
119,132,5.8046374
119,147,12.877708
120,128,10.949282
121,127,7.019358
121,150,12.664691
122,156,14.24662
123,148,10.008898
124,147,10.651233
124,157,14.1906395
125,144,10.299955
125,145,11.862352
126,129,9.773439
127,145,11.241713
127,150,11.700417
130,131,11.890759
130,133,10.533782
130,142,5.5969667
131,142,12.649145
132,140,9.337106
132,147,12.318744
133,142,11.586338
133,166,11.607279
134,141,14.917264
134,153,7.045566
134,163,9.77136
134,172,12.05782
135,155,9.360895
136,137,13.210891
136,146,9.175379
137,146,10.891692
137,151,6.4159913
139,152,6.728334
139,186,13.002842
140,193,13.52088
141,163,13.828019
141,180,14.561582
142,166,12.574348
143,159,10.480118
143,174,12.483198
144,145,12.612425
144,160,6.643355
145,150,13.535346
145,183,12.951279
145,184,14.803742
146,151,11.458603
147,157,7.3614726
147,175,12.836725
149,171,9.632651
151,177,11.46581
152,173,8.569762
152,186,11.121785
153,163,9.694454
153,164,12.028057
153,172,7.9873433
153,181,13.516016
155,187,12.122783
156,170,8.060709
157,175,14.106198
157,192,13.383514
159,164,10.603006
159,174,6.813232
159,188,13.967317
160,184,11.827642
161,168,7.8432627
161,198,12.538925
162,176,8.675961
163,172,5.857346
163,180,13.038554
163,181,7.112472
164,172,14.510213
164,174,14.99952
165,168,7.6151342
166,206,14.368599
167,189,9.964003
169,182,14.532695
169,185,8.209183
169,202,14.703342
170,177,11.228521
170,194,9.149599
170,215,14.797485
171,197,9.5533085
172,181,5.662368
172,208,13.34764
173,186,13.856584
174,179,14.833655
174,188,7.3744783
175,193,8.582116
175,196,6.0086083
175,225,13.37942
176,190,12.3518915
176,222,12.157422
177,194,7.025714
177,211,12.0683155
178,197,14.368463
178,204,9.700902
179,187,9.405621
179,188,9.898375
179,207,10.129599
179,217,14.032204
179,231,14.365343
180,181,12.498875
180,201,8.442448
180,234,14.470149
181,201,10.100776
181,208,9.981051
181,235,14.397829
182,185,7.8448215
182,189,11.284899
182,202,10.442793
183,184,5.046376
183,210,14.271922
183,214,8.9862
184,214,10.337405
185,202,7.287428
185,213,14.811846
