Object,Neighbor,Distance
1,2,7.9247227
1,4,11.735158
1,6,9.00379
2,5,14.641548
2,6,14.19611
3,4,8.623605
3,8,8.701161
3,9,10.449111
3,11,13.601217
4,6,7.4715605
4,8,6.3422613
4,10,9.985588
4,11,12.996695
5,12,12.409529
5,13,14.647202
6,8,10.098774
6,10,7.613963
6,11,14.745424
6,15,13.219948
6,17,14.999859
7,16,13.583833
8,9,10.612442
8,10,7.0338936
8,11,6.7164426
8,17,12.982029
9,11,9.144829
9,14,9.720974
9,19,13.583658
10,11,8.1231985
10,15,10.898214
10,17,7.8561273
11,14,14.388045
11,17,9.082227
11,19,11.29082
12,13,12.985362
12,18,7.9177394
12,22,13.664644
13,15,14.646956
13,21,10.209043
13,26,13.224029
14,19,9.408274
14,20,6.1763506
14,24,13.744954
15,17,10.051495
15,21,7.79244
16,23,6.733995
16,24,14.859869
16,29,13.495897
17,19,13.902487
17,28,12.741951
18,22,5.7989054
18,27,13.489504
19,20,8.274109
19,24,14.399796
19,25,10.029391
20,24,7.9099097
20,25,13.6359625
21,26,11.0867195
22,27,7.7432833
22,30,12.000188
23,24,10.54461
23,29,6.7800856
23,34,13.556612
24,25,14.353417
24,29,10.295263
24,34,13.296184
26,31,9.072754
26,33,11.101329
26,37,14.812797
27,30,9.06951
27,32,8.249499
28,33,14.795626
28,35,12.047943
29,34,6.801055
29,36,12.137258
30,31,14.346923
30,32,12.565276
30,42,13.709061
31,33,13.097863
31,37,6.6468315
32,41,11.867016
32,42,14.878048
33,35,14.182065
33,37,14.026248
33,39,11.493293
34,36,5.893973
34,40,9.61352
35,39,11.428316
36,38,12.769125
36,40,7.5142426
36,48,14.089063
37,44,9.472393
37,46,14.053549
38,43,6.978307
39,51,11.241981
40,48,8.6024885
40,50,14.417859
40,54,14.982725
41,42,6.2119603
41,45,6.6877127
41,46,14.876787
41,47,7.274505
41,53,14.160501
42,45,11.539216
42,46,9.262473
42,47,7.279668
42,53,13.220444
43,49,11.903503
43,50,10.957251
44,46,9.613226
45,47,7.2170973
45,53,12.072151
46,47,11.0295925
46,53,12.04725
47,53,6.9183793
47,56,13.056022
48,50,7.096405
48,54,6.755557
48,59,14.565119
49,58,10.972919
