Object,Neighbor,Distance
1,4,10.035809
2,18,9.21801
2,64,9.371184
2,68,10.379672
3,42,14.231534
3,45,4.3986297
3,51,10.303527
3,62,8.556268
3,85,13.914947
3,93,13.067555
4,46,13.854111
4,57,9.640477
4,109,14.073659
5,15,12.692541
5,76,10.709256
6,16,6.180682
6,30,14.688026
6,52,7.1411576
6,58,9.988932
6,81,13.989412
7,19,8.818679
7,59,6.5039835
7,96,13.336348
8,9,7.349529
8,27,8.696014
8,49,9.273875
8,53,6.403713
8,74,13.963468
8,92,13.89668
8,112,14.868237
9,41,12.841677
9,49,4.986746
9,53,10.849731
9,92,13.310578
10,11,14.882576
10,29,12.582254
10,50,11.886508
10,60,6.8760095
11,40,10.7089205
11,50,6.435458
11,60,13.144557
11,84,11.830991
11,89,10.269183
11,98,14.446149
12,40,7.7117686
12,54,7.179175
12,75,8.425505
12,84,14.004853
13,21,14.490439
13,22,14.508077
13,56,10.578042
13,61,5.9649887
13,72,12.946029
13,94,12.740798
14,22,7.6583304
14,46,5.1650305
14,56,14.511552
14,57,10.346516
14,86,11.310997
15,37,9.552486
16,43,9.928552
16,52,8.987891
16,58,7.3137813
16,81,10.696069
17,30,12.264965
17,44,11.600671
17,67,10.033558
17,82,10.188713
17,95,12.010412
18,32,14.556791
18,64,8.504708
18,80,10.362922
19,35,11.751955
19,59,6.861376
19,69,8.496802
20,26,9.019724
20,66,14.1394825
20,70,12.361557
20,120,9.340154
21,55,10.877791
21,72,9.410573
22,46,11.23785
22,56,7.8086553
22,86,14.368694
23,63,6.572699
23,87,12.718059
23,105,12.574843
24,44,10.36051
24,47,8.695181
25,26,6.9715104
25,35,6.0691986
25,66,9.037332
25,77,10.261259
26,35,12.998349
26,66,7.954083
26,77,14.820563
26,102,14.562755
27,53,9.339055
27,70,13.313737
27,74,8.349638
27,112,14.838597
28,29,6.3152375
28,83,9.958
28,107,14.960052
29,83,9.101785
30,67,8.936623
30,99,14.660109
31,47,9.1316595
31,48,9.687055
31,100,12.9833765
32,97,10.840383
32,111,14.283139
33,123,13.813235
34,65,7.934074
34,116,14.70512
35,66,12.693797
35,69,9.939668
35,77,8.23583
36,104,13.072049
38,73,12.357666
38,76,14.213075
38,78,9.235697
38,79,7.0754943
38,90,11.652933
38,106,12.61889
39,51,12.080112
39,55,10.006728
39,85,14.172134
39,91,11.252164
40,50,14.79532
40,54,11.840125
40,75,8.319725
40,84,7.6433687
40,89,13.154287
40,98,11.752902
41,49,11.405374
41,71,6.508916
41,107,13.180713
42,45,14.189191
42,62,9.209084
42,108,12.579497
43,58,10.17092
43,81,9.793205
43,121,13.084096
44,82,8.656578
44,95,14.736514
44,115,12.084398
44,130,14.209989
45,51,8.314929
45,62,6.064701
45,85,10.642311
45,93,8.693684
45,125,14.7216625
46,57,5.802749
46,86,6.9552517
48,68,9.661743
48,100,10.058474
48,101,9.543955
49,53,9.461058
49,71,14.5663
49,92,8.657311
50,60,7.65134
50,84,12.221387
50,89,6.696538
50,98,12.971539
50,103,10.208945
51,62,13.814146
51,85,4.9268017
51,91,9.362994
51,93,9.58427
51,127,11.987304
52,58,6.156638
52,81,9.474942
52,99,10.774757
52,118,9.631394
52,136,13.503349
52,142,12.918614
53,74,9.999724
53,92,9.302588
53,112,8.470681
53,124,12.676427
53,154,14.808379
54,75,5.8841963
54,84,14.7261095
55,72,14.407116
55,114,9.153104
56,61,9.117054
56,94,10.477118
56,128,11.971329
57,86,8.367259
57,109,12.945121
58,81,4.002007
58,118,8.480088
58,121,10.876538
58,136,10.803424
58,142,14.36616
59,69,9.980892
59,96,9.094203
59,119,11.885085
60,89,12.400118
60,103,9.430078
60,113,10.151608
61,72,9.837656
61,94,6.8574047
61,128,14.247742
61,144,14.223742
62,85,14.691951
62,93,9.5843525
62,125,10.477645
63,87,8.940358
63,105,6.738558
64,68,9.219077
64,80,7.469537
64,134,11.405261
65,88,8.128072
65,116,8.890288
65,149,14.168362
66,77,9.632978
66,102,8.136001
66,150,12.694458
67,82,11.840816
67,95,7.8897433
67,99,13.464627
67,122,8.734392
68,101,8.762708
68,138,11.66185
69,77,8.125163
69,119,10.553024
69,153,13.05109
70,74,8.894968
70,120,3.79636
70,124,14.738257
70,145,12.204705
71,107,7.0676684
72,94,11.541279
72,135,9.657109
72,144,14.42894
73,79,10.1053705
73,90,5.700877
73,106,11.567228
73,110,6.137495
73,117,11.947674
73,148,13.310919
74,112,9.567937
74,120,12.667946
74,124,8.717322
75,84,8.979142
75,98,11.404844
76,78,7.1896224
76,79,12.2355385
76,106,13.30529
76,132,9.972667
77,150,11.253781
77,153,13.830946
78,79,5.1032124
78,90,10.777871
78,106,6.9920154
79,90,6.301329
79,106,5.5436263
79,110,13.355864
80,97,12.510189
80,134,9.556146
81,118,7.074995
81,121,6.8870964
81,136,7.848655
