Object,Neighbor,Distance
1,16,13.147758
1,34,7.1246886
1,57,7.686613
1,84,14.072697
2,10,6.3558397
2,24,13.233139
2,38,5.9198365
2,51,9.885299
2,59,6.946687
2,65,12.193761
2,86,13.24472
3,64,8.206716
4,30,11.012712
4,46,8.383989
4,60,6.7585063
4,89,14.212517
5,6,11.464288
5,31,5.181959
5,45,11.570281
5,48,8.081852
5,91,14.405758
6,31,7.355715
6,45,5.2300944
6,92,13.228376
7,15,10.444236
7,22,4.944522
7,23,6.829423
7,33,12.65547
7,49,9.873259
7,63,11.225854
7,76,12.158833
7,78,13.213348
8,43,4.4707065
8,50,7.2272983
9,24,8.254876
9,37,7.824006
9,51,14.106348
9,69,7.590415
9,100,14.546376
10,24,6.9137483
10,38,11.534142
10,51,6.023752
10,59,8.26819
11,52,5.459029
11,70,12.229186
11,80,12.483528
12,17,9.869569
12,25,5.4421372
12,68,11.073473
12,74,10.713281
13,53,11.37473
13,81,12.533836
14,15,7.1724524
14,21,5.895611
14,22,12.709815
14,49,10.121107
14,61,9.661034
14,62,7.6170683
14,77,10.262881
15,21,13.038803
15,22,5.5531154
15,49,5.071112
15,62,8.02394
15,77,13.261064
15,78,12.281603
16,36,11.776654
16,57,11.9049425
16,83,11.985891
17,29,14.757282
17,67,10.067171
17,74,10.483758
18,41,8.236017
18,48,10.783074
18,55,5.712242
18,75,10.74431
19,39,5.2803407
19,40,10.538674
19,42,10.176908
20,21,9.795017
20,40,13.560911
20,56,6.7316813
20,61,9.52024
20,72,8.644171
20,104,14.488994
21,56,14.831648
21,61,5.0499926
21,62,10.887
21,72,10.977206
21,77,10.413842
22,23,11.662568
22,49,5.6383963
22,62,11.490541
22,76,13.545942
22,78,11.148308
23,33,5.9154716
23,36,14.194422
23,63,6.38141
23,76,11.578898
24,51,7.0435677
24,59,12.939513
24,69,13.588118
25,26,9.755972
25,68,7.836552
25,74,13.623662
26,30,14.455509
26,68,10.046273
26,87,11.940856
27,28,9.677741
27,35,6.864436
27,58,13.675866
27,73,8.682818
27,85,10.1081
27,102,14.169743
28,37,14.430646
28,85,13.54855
28,93,13.990205
28,102,13.555896
29,52,14.941952
29,67,9.732625
29,95,10.968285
29,103,14.646337
30,46,5.4332066
30,60,13.533416
30,88,9.745289
30,89,11.746883
31,45,6.3972483
31,48,10.80146
31,91,14.995617
31,92,13.978945
32,54,9.23742
32,82,10.13432
33,36,8.490913
33,63,5.219336
33,76,12.852609
33,107,13.604563
34,57,10.171474
34,84,9.461561
34,112,12.889382
35,58,7.1883116
35,73,8.26353
35,85,12.170701
35,109,14.221121
36,63,12.521028
36,105,14.736275
36,107,14.1300535
37,69,8.159928
37,93,12.926567
37,100,12.927185
38,51,12.697307
38,59,6.800653
38,65,6.4074736
38,86,9.655553
38,101,11.978888
38,113,14.653988
39,40,14.497318
39,42,5.493764
39,106,12.802651
40,56,9.381625
40,111,13.986095
41,55,5.5582776
41,75,4.61899
43,50,5.5350647
43,97,13.935596
43,116,14.942411
44,66,11.552475
44,70,12.96606
44,79,7.1616077
45,92,8.5959
46,60,8.530871
46,88,9.101018
46,89,7.5100994
47,54,14.024334
47,71,8.789871
47,98,12.496029
48,55,11.054422
48,91,7.414094
49,62,6.189808
49,76,13.194821
49,77,11.608529
49,78,7.212386
49,115,13.244462
50,97,9.6532955
