Object,Neighbor,Distance
1,31,11.989819
2,21,4.2421694
2,39,14.506211
3,26,6.452187
3,27,13.052492
3,33,8.869651
4,5,13.495682
4,42,11.884063
4,50,12.386568
5,25,5.9660306
5,48,11.804928
6,8,7.2366047
6,22,11.073308
6,28,10.373139
6,29,5.1552434
6,38,9.069805
6,43,13.394825
6,56,14.38444
7,24,11.214106
8,22,4.4948974
8,29,9.392888
8,35,11.847216
8,38,8.576004
8,43,10.150546
8,51,14.913522
9,18,11.331578
10,22,13.862367
10,35,10.416468
10,40,8.08537
11,19,6.5459933
12,15,14.842392
12,36,7.369372
12,39,11.061949
13,20,6.1789846
13,23,13.871646
14,32,5.2008357
14,33,11.732994
15,36,14.890771
16,25,12.128737
16,31,11.75329
17,37,7.9390125
17,61,14.601206
17,65,14.690595
18,46,8.696513
20,23,7.841605
20,54,11.995896
21,39,11.059175
21,62,12.687764
22,29,11.555538
22,35,7.357923
22,38,8.276473
22,43,7.36499
22,51,10.675257
22,63,13.360478
23,30,12.098034
23,54,11.259806
24,47,8.631269
25,48,7.1925836
26,27,9.412546
26,33,8.833268
28,29,8.57585
28,38,13.819645
28,56,12.285179
29,38,5.6674733
29,43,10.72198
29,56,9.231245
31,55,8.629109
32,33,13.212884
32,74,13.202158
34,41,10.365483
34,44,9.828591
35,38,12.447974
35,40,9.446584
35,43,8.23855
35,51,5.2766466
35,63,10.367689
35,67,14.072187
36,39,9.542144
36,72,14.476341
36,85,14.741687
37,61,7.608827
37,65,12.33138
38,43,5.080068
38,51,12.148119
38,56,8.473333
38,63,10.949909
39,62,11.921317
39,72,10.3604555
40,51,11.356036
40,67,8.671691
41,68,9.727386
42,50,5.7638574
42,59,7.2549233
42,66,12.063295
42,84,13.009973
43,51,7.0737205
43,56,11.217781
43,63,6.719005
44,46,11.763019
45,53,4.7541714
45,58,12.344396
45,69,8.968273
45,94,14.795863
46,76,10.617257
46,78,14.797433
46,86,11.909048
47,58,7.6523232
47,69,14.645369
47,89,14.378748
48,50,14.206351
48,66,11.908657
49,90,13.360214
50,59,11.462744
50,66,7.258117
51,63,5.590722
51,67,12.29028
51,96,13.42665
52,80,14.535149
52,95,12.254828
53,69,11.533204
53,94,14.605561
54,71,11.123033
54,79,10.325702
55,64,10.282129
55,77,9.711103
55,100,14.943885
56,63,13.104523
56,75,14.86194
56,82,8.820751
56,87,10.743721
57,78,11.502204
57,107,14.565587
58,69,6.9942975
58,89,9.696388
58,94,14.922749
59,66,14.919233
59,84,6.9558616
60,71,7.5869665
60,83,6.510533
60,91,12.858939
60,108,13.786316
61,65,9.396769
61,88,8.175596
62,72,9.523864
62,73,8.506279
63,87,12.150088
63,96,11.029023
63,104,12.651398
64,100,12.707042
65,68,11.830875
65,88,12.245442
65,114,14.922995
66,109,12.017072
67,90,12.430056
67,96,13.509632
67,102,11.30593
68,101,14.403788
68,114,11.791395
69,89,9.494148
69,94,8.640034
69,110,13.25568
70,85,11.24625
70,95,13.938508
70,97,7.6964817
71,83,7.2451706
71,108,13.128309
72,85,12.732473
72,117,12.508335
73,74,7.203112
73,81,11.5107
73,118,13.3464985
74,81,4.7052503
75,77,10.709674
75,82,11.059595
75,103,13.906488
75,112,13.085685
76,78,6.5279803
76,86,7.1989374
76,106,11.856167
77,100,14.506971
77,112,12.098537
77,115,10.539352
